心	heart
精子	sperma
气味	smell
汗湿	wet sweat
飞沫	splash
眼泪	tears
触手	tentacle
	
	
初音未来	hatsune miku
镜音铃	Kagamine Rin
镜音莲	Kagamine Len
巡音露卡	megurine luka
GUMI	gumi
博丽灵梦	hakurei reimu
雾雨魔理沙	kirisame marisa
八云紫	yakumo yukari
蕾米莉亚斯卡雷特	remilia scarlet
芙兰朵露斯卡雷特	flandre scarlet
十六夜咲夜	izayoi sakuya
东风谷早苗	kochiya sanae
帕秋莉	patchouli knowledge
魂魄妖梦	konpaku youmu
琪露诺	cirno
古明地恋	komeiji koishi
魂魄妖夢	konpaku youmu
东条希	toujou nozomi
八雲紫	yakumo yukari
霊烏路空	reiuji utsuho
エウルア	eula (genshin impact)
单个女性	1girl
两个女性	2girls
三个人	threesome
四个男人	4boys
亲吻	kiss
性交	sex
包容性	accepting without reservation
催眠	hypnosis
大阴茎	big penis
一男两女	ffm
两男一女	mmf
痴汉1	molest
痴汉2	molestation
卖春	prostitution
凌辱	rape
轮奸	gang bang
穿着衣服sex	clothed sex
法式吻	French kiss
拥抱	hug
睡奸	Sleeping rape
自信的女性	assertive female
黑皮肤男	dark-skinned male
炮友1	friend with benefits
炮友2	fuck buddy
エロ画像	nsfw
フルカラー	full color
モノクロ	monochrome
卡通	toon
美图	fantasy girl illust
色图	hentai
摄影	photoreal
	
自慰1	wank
自慰2	masturbation
自慰3	masturbate
乳交1	paizuri
乳交2	titfuck
乳交3	tit wank
口交1	fellatio
口交2	blow job
手交/打飞机	handjob
软核玩法	softcore
硬核玩法	hardcore
潮吹1	squirting
潮吹2	female ejaculation
潮吹3	gushing
撒尿	peeing
深喉	deep throat
足交	footjob 
掀裙子	upskirt
双手V手势	double piece pose
全身	full body
上半身	upper body
双手被绑在身后	hands tied behind back reference
弯腰	bent over
张开双腿	spread legs
动感的姿势	dynamic
顔射1	bukkake
顔射2	facial cumshot
射精1	cream shoot
射精2	cumshot
中出し1	creampie
中出し2	Middle soup stock
中出し3	vaginal cumshot
中出し4	cum pussy
露屁股	ass
口内射精	cim
简单背景	simple background
颜色背景s（需要填底色）	background
泳池	swimming pool
海滩	beach
沙滩	sandy beach
海边	seaside
屋外	outdoors
住宅	residence
房间	House
学校	school
街上	street
公园	park
图书馆	library
实验室	laboratory
城堡	castle
森林	shrine grove
水族馆	aquarium
战场	battlefield
车站	UBWAY STATION
电车内	inside a train
黄昏	sunset
废墟	ruins
澡堂	bathroom
云上	cloud
游乐园	amusement park
天空	sky
即将高潮	be almost there
NTR	cuckold
汗水蒸汽	many steam and many sweat
被伤害	damaged
肉食系	paraphilia
睡眠	sleep
炫光效果	fantasy girl illust
发情期	girl in heat
イヤリング	earring
グラサン	sunglasses
ネックレス	necklace
ブレスレット	bracelet
ヘアピン	hairpin
マスク	face masks
モノクル	monocle
リボン	ribbon
眼鏡	glasses
日本刀	Japanese sword
カチューシャ	horseshoe-shaped hairband
鉢巻	headband
精灵	elf
活泼	gyaru
抖S	sadist
黑眼圈	bags under eyes
母性	babumi
荡妇	bitch
抖M	masochism
病娇	Yandere
淫乱1	nympho
淫乱2	nymphomaniac
可爱1	cute
可爱2	kawaii
美少女	nymph
百合	yuri
仿生人	android
肉便器	cum dump
马娘	umamusume
暴露狂	exhibitionism
69	69
692	sixty-nine
骑乘位1	ridingwoman on top
骑乘位2	cowgirl position
交叉位	tribadism
正常位	missionary position
背后位1	doggy style
背后位2	Spoons
2穴插入	double penetration
纤细身躯	Slender body
高身長	tall person
小さな胸	small breasts
小柄な体系	small build
美脚	beautiful legs
豊満ボディ	ample figure
御姐	assertive female
萝莉	loli
小孩	child
少女	girl
黑发	Black hair
白发	White hair
粉发	pink hair
黄发	Yellow hair
绿发	Green hair
金发	blonde hair
银发	Silver hair
蓝绿发	aqua hair
蓝发	Blue hair
红发	Red hair
紫发	Purple hair
朱发	Vermilion hair
青发	Indigo hair
淡紫发	light purple hair
棕发	Brown hair
铜发	Cooper hair
虹发	Rainbow hair
玫瑰红发	Rose hair
没头发	Colorless hair
橘发	orange hair
灰发	Gray hair
橙发	Orange hair
浅绿发	light green hair
闭着嘴	closed mouth
张开嘴	open mouth
微笑	smile
坏笑	evil smile
恐惧	fear face
惊讶	surprised
脸红	blush
眼泪	tears
哭泣	crying
思考	thinking
愤怒	angry
闭一只眼	one eye closed
调皮	naughty face
轻松	relaxed
高兴	joyful
不幸	unhappy
悲伤	sad
吐舌	tongue out
闭眼	eyes closed
眨眼	wink
闭一只眼	wince
竖的瞳孔/猫眼	slit pupils
作鬼脸	eyelid pull
汗颜	sweatdrop
吊眼角	tsurime
盯着看	eyeball
眼泪	tears
闻	smelling
鼻血	nosebleed
嘴唇	lips
咬牙	clenched teeth
张口	open mouth
努嘴	pout
叹气	sigh
微笑	smile
露齿而笑	grin
凝视	stare
生气的	angry
苦恼的	annoyed
疯狂的	crazy
害羞的	shy
尴尬的	embarrassed
脸红的	blush
困乏的	sleepy
悲伤的	sad
喝醉的	drunk
黑化的	dark persona
皱眉/蹙额	frown
